dateRep,cases,,,,,,,,,,
9/10/2020,169,,,,,,,,,,
8/10/2020,162,,,,,,,,,,
7/10/2020,158,,,,,,,,,,
6/10/2020,144,,,,,,,,,,
5/10/2020,149,,,,,,,,,,
4/10/2020,152,,,,,,,,,,
3/10/2020,159,,,,,,,,,,
2/10/2020,157,,,,,,,,,,
1/10/2020,131,,,,,,,,,,
30/09/2020,127,,,,,,,,,,
29/09/2020,132,,,,,,,,,,
28/09/2020,106,,,,,,,,,,
27/09/2020,108,,,,,,,,,,
26/09/2020,124,,,,,,,,,,
25/09/2020,134,,,,,,,,,,
24/09/2020,121,,,,,,,,,,
23/09/2020,131,,,,,,,,,,
22/09/2020,150,,,,,,,,,,
21/09/2020,159,,,,,,,,,,
20/09/2020,153,,,,,,,,,,
19/09/2020,125,,,,,,,,,,
18/09/2020,132,,,,,,,,,,
17/09/2020,144,,,,,,,,,,
16/09/2020,152,,,,,,,,,,
15/09/2020,167,,,,,,,,,,
14/09/2020,168,,,,,,,,,,
13/09/2020,164,,,,,,,,,,
12/9/2020,161,,,,,,,,,,
11/9/2020,156,,,,,,,,,,
10/9/2020,151,,,,,,,,,,
9/9/2020,147,,,,,,,,,,
8/9/2020,151,,,,,,,,,,
7/9/2020,153,,,,,,,,,,
6/9/2020,135,,,,,,,,,,
5/9/2020,123,,,,,,,,,,
4/9/2020,116,,,,,,,,,,
3/9/2020,122,,,,,,,,,,
2/9/2020,93,,,,,,,,,,
1/9/2020,133,,,,,,,,,,
31/08/2020,101,,,,,,,,,,
30/08/2020,84,,,,,,,,,,
29/08/2020,112,,,,,,,,,,
28/08/2020,156,,,,,,,,,,
27/08/2020,168,,,,,,,,,,
26/08/2020,154,,,,,,,,,,
25/08/2020,178,,,,,,,,,,
24/08/2020,152,,,,,,,,,,
23/08/2020,156,,,,,,,,,,
22/08/2020,152,,,,,,,,,,
21/08/2020,155,,,,,,,,,,
20/08/2020,158,,,,,,,,,,
19/08/2020,155,,,,,,,,,,
18/08/2020,119,,,,,,,,,,
17/08/2020,120,,,,,,,,,,
16/08/2020,143,,,,,,,,,,
15/08/2020,146,,,,,,,,,,
14/08/2020,154,,,,,,,,,,
13/08/2020,141,,,,,,,,,,
12/8/2020,140,,,,,,,,,,
11/8/2020,125,,,,,,,,,,
10/8/2020,136,,,,,,,,,,
9/8/2020,124,,,,,,,,,,
8/8/2020,135,,,,,,,,,,
7/8/2020,127,,,,,,,,,,
6/8/2020,139,,,,,,,,,,
5/8/2020,130,,,,,,,,,,
4/8/2020,101,,,,,,,,,,
3/8/2020,123,,,,,,,,,,
2/8/2020,120,,,,,,,,,,
1/8/2020,79,,,,,,,,,,
31/07/2020,92,,,,,,,,,,
30/07/2020,108,,,,,,,,,,
29/07/2020,117,,,,,,,,,,
28/07/2020,117,,,,,,,,,,
27/07/2020,126,,,,,,,,,,
26/07/2020,67,,,,,,,,,,
25/07/2020,104,,,,,,,,,,
24/07/2020,108,,,,,,,,,,
23/07/2020,68,,,,,,,,,,
22/07/2020,119,,,,,,,,,,
21/07/2020,81,,,,,,,,,,
20/07/2020,82,,,,,,,,,,
19/07/2020,102,,,,,,,,,,
18/07/2020,55,,,,,,,,,,
17/07/2020,99,,,,,,,,,,
16/07/2020,85,,,,,,,,,,
15/07/2020,96,,,,,,,,,,
14/07/2020,117,,,,,,,,,,
13/07/2020,83,,,,,,,,,,
12/7/2020,93,,,,,,,,,,
11/7/2020,90,,,,,,,,,,
10/7/2020,82,,,,,,,,,,
9/7/2020,68,,,,,,,,,,
8/7/2020,74,,,,,,,,,,
7/7/2020,71,,,,,,,,,,
6/7/2020,74,,,,,,,,,,
5/7/2020,67,,,,,,,,,,
4/7/2020,90,,,,,,,,,,
3/7/2020,82,,,,,,,,,,
2/7/2020,45,,,,,,,,,,
1/7/2020,69,,,,,,,,,,
30/06/2020,64,,,,,,,,,,
29/06/2020,72,,,,,,,,,,
28/06/2020,61,,,,,,,,,,
27/06/2020,77,,,,,,,,,,
26/06/2020,78,,,,,,,,,,
25/06/2020,67,,,,,,,,,,
24/06/2020,52,,,,,,,,,,
23/06/2020,68,,,,,,,,,,
22/06/2020,36,,,,,,,,,,
21/06/2020,53,,,,,,,,,,
20/06/2020,50,,,,,,,,,,
19/06/2020,66,,,,,,,,,,
18/06/2020,50,,,,,,,,,,
17/06/2020,82,,,,,,,,,,
16/06/2020,69,,,,,,,,,,
15/06/2020,57,,,,,,,,,,
14/06/2020,48,,,,,,,,,,
13/06/2020,31,,,,,,,,,,
12/6/2020,44,,,,,,,,,,
11/6/2020,42,,,,,,,,,,
10/6/2020,36,,,,,,,,,,
9/6/2020,17,,,,,,,,,,
8/6/2020,14,,,,,,,,,,
7/6/2020,20,,,,,,,,,,
6/6/2020,15,,,,,,,,,,
5/6/2020,13,,,,,,,,,,
4/6/2020,20,,,,,,,,,,
3/6/2020,21,,,,,,,,,,
2/6/2020,6,,,,,,,,,,
1/6/2020,15,,,,,,,,,,
31/05/2020,23,,,,,,,,,,
30/05/2020,23,,,,,,,,,,
29/05/2020,26,,,,,,,,,,
28/05/2020,21,,,,,,,,,,
27/05/2020,25,,,,,,,,,,
26/05/2020,6,,,,,,,,,,
25/05/2020,9,,,,,,,,,,
24/05/2020,8,,,,,,,,,,
23/05/2020,12,,,,,,,,,,
22/05/2020,5,,,,,,,,,,
21/05/2020,15,,,,,,,,,,
20/05/2020,1,,,,,,,,,,
19/05/2020,2,,,,,,,,,,
18/05/2020,13,,,,,,,,,,
17/05/2020,17,,,,,,,,,,
16/05/2020,18,,,,,,,,,,
15/05/2020,18,,,,,,,,,,
14/05/2020,4,,,,,,,,,,
13/05/2020,4,,,,,,,,,,
12/5/2020,4,,,,,,,,,,
11/5/2020,12,,,,,,,,,,
10/5/2020,6,,,,,,,,,,
9/5/2020,8,,,,,,,,,,
8/5/2020,10,,,,,,,,,,
7/5/2020,12,,,,,,,,,,
6/5/2020,17,,,,,,,,,,
5/5/2020,8,,,,,,,,,,
4/5/2020,6,,,,,,,,,,
3/5/2020,7,,,,,,,,,,
2/5/2020,9,,,,,,,,,,
1/5/2020,7,,,,,,,,,,
30/04/2020,16,,,,,,,,,,
29/04/2020,14,,,,,,,,,,
28/04/2020,10,,,,,,,,,,
27/04/2020,14,,,,,,,,,,
26/04/2020,34,,,,,,,,,,
25/04/2020,15,,,,,,,,,,
24/04/2020,29,,,,,,,,,,
23/04/2020,25,,,,,,,,,,
22/04/2020,25,,,,,,,,,,
21/04/2020,22,,,,,,,,,,
20/04/2020,14,,,,,,,,,,
19/04/2020,9,,,,,,,,,,
18/04/2020,21,,,,,,,,,,
17/04/2020,24,,,,,,,,,,
16/04/2020,19,,,,,,,,,,
15/04/2020,8,,,,,,,,,,
14/04/2020,21,,,,,,,,,,
13/04/2020,13,,,,,,,,,,
12/4/2020,17,,,,,,,,,,
11/4/2020,7,,,,,,,,,,
10/4/2020,9,,,,,,,,,,
9/4/2020,17,,,,,,,,,,
8/4/2020,6,,,,,,,,,,
7/4/2020,16,,,,,,,,,,
6/4/2020,28,,,,,,,,,,
5/4/2020,29,,,,,,,,,,
4/4/2020,27,,,,,,,,,,
3/4/2020,18,,,,,,,,,,
2/4/2020,16,,,,,,,,,,
1/4/2020,20,,,,,,,,,,
31/03/2020,11,,,,,,,,,,
30/03/2020,15,,,,,,,,,,
29/03/2020,11,,,,,,,,,,
28/03/2020,12,,,,,,,,,,
27/03/2020,28,,,,,,,,,,
26/03/2020,23,,,,,,,,,,
25/03/2020,23,,,,,,,,,,
24/03/2020,11,,,,,,,,,,
23/03/2020,13,,,,,,,,,,
22/03/2020,6,,,,,,,,,,
21/03/2020,0,,,,,,,,,,
20/03/2020,11,,,,,,,,,,
19/03/2020,4,,,,,,,,,,
18/03/2020,4,,,,,,,,,,
17/03/2020,9,,,,,,,,,,
16/03/2020,4,,,,,,,,,,
15/03/2020,5,,,,,,,,,,
14/03/2020,10,,,,,,,,,,
13/03/2020,12,,,,,,,,,,
12/3/2020,1,,,,,,,,,,
11/3/2020,4,,,,,,,,,,
10/3/2020,4,,,,,,,,,,
9/3/2020,2,,,,,,,,,,
14/12/2020,464,,,,,,,,,,
13/12/2020,517,,,,,,,,,,
12/12/2020,542,,,,,,,,,,
11/12/2020,565,,,,,,,,,,
10/12/2020,598,,,,,,,,,,
9/12/2020,591,,,,,,,,,,
8/12/2020,573,,,,,,,,,,
7/12/2020,750,,,,,,,,,,
6/12/2020,772,,,,,,,,,,
5/12/2020,803,,,,,,,,,,
4/12/2020,843,,,,,,,,,,
3/12/2020,932,,,,,,,,,,
2/12/2020,963,,,,,,,,,,
1/12/2020,968,,,,,,,,,,
30/11/2020,1009,,,,,,,,,,
29/11/2020,1044,,,,,,,,,,
28/11/2020,1058,,,,,,,,,,
27/11/2020,1085,,,,,,,,,,
26/11/2020,1025,,,,,,,,,,
25/11/2020,1133,,,,,,,,,,
24/11/2020,1005,,,,,,,,,,
23/11/2020,1088,,,,,,,,,,
22/11/2020,1019,,,,,,,,,,
21/11/2020,1103,,,,,,,,,,
20/11/2020,1023,,,,,,,,,,
19/11/2020,1038,,,,,,,,,,
18/11/2020,1002,,,,,,,,,,
17/11/2020,910,,,,,,,,,,
16/11/2020,860,,,,,,,,,,
15/11/2020,844,,,,,,,,,,
14/11/2020,867,,,,,,,,,,
13/11/2020,851,,,,,,,,,,
12/11/2020,811,,,,,,,,,,
11/11/2020,753,,,,,,,,,,
10/11/2020,642,,,,,,,,,,
9/11/2020,670,,,,,,,,,,
8/11/2020,581,,,,,,,,,,
7/11/2020,631,,,,,,,,,,
6/11/2020,642,,,,,,,,,,
5/11/2020,548,,,,,,,,,,
4/11/2020,405,,,,,,,,,,
3/11/2020,302,,,,,,,,,,
2/11/2020,330,,,,,,,,,,
1/11/2020,291,,,,,,,,,,
31/10/2020,319,,,,,,,,,,
30/10/2020,306,,,,,,,,,,
29/10/2020,320,,,,,,,,,,
28/10/2020,287,,,,,,,,,,
27/10/2020,276,,,,,,,,,,
26/10/2020,263,,,,,,,,,,
25/10/2020,250,,,,,,,,,,
24/10/2020,273,,,,,,,,,,
23/10/2020,266,,,,,,,,,,
22/10/2020,252,,,,,,,,,,
21/10/2020,223,,,,,,,,,,
20/10/2020,214,,,,,,,,,,
19/10/2020,199,,,,,,,,,,
18/10/2020,215,,,,,,,,,,
17/10/2020,211,,,,,,,,,,
16/10/2020,193,,,,,,,,,,
15/10/2020,185,,,,,,,,,,
14/10/2020,174,,,,,,,,,,
13/10/2020,153,,,,,,,,,,
12/10/2020,132,,,,,,,,,,
11/10/2020,136,,,,,,,,,,
10/10/2020,146,,,,,,,,,,
9/10/2020,138,,,,,,,,,,
8/10/2020,121,,,,,,,,,,
7/10/2020,129,,,,,,,,,,
6/10/2020,134,,,,,,,,,,
5/10/2020,141,,,,,,,,,,
4/10/2020,148,,,,,,,,,,
3/10/2020,157,,,,,,,,,,
2/10/2020,160,,,,,,,,,,
1/10/2020,162,,,,,,,,,,
30/09/2020,155,,,,,,,,,,
29/09/2020,146,,,,,,,,,,
28/09/2020,153,,,,,,,,,,
27/09/2020,160,,,,,,,,,,
26/09/2020,175,,,,,,,,,,
25/09/2020,179,,,,,,,,,,
24/09/2020,186,,,,,,,,,,
23/09/2020,191,,,,,,,,,,
22/09/2020,197,,,,,,,,,,
21/09/2020,203,,,,,,,,,,
20/09/2020,210,,,,,,,,,,
19/09/2020,219,,,,,,,,,,
18/09/2020,228,,,,,,,,,,
17/09/2020,232,,,,,,,,,,
16/09/2020,238,,,,,,,,,,
15/09/2020,242,,,,,,,,,,
14/09/2020,247,,,,,,,,,,
13/09/2020,255,,,,,,,,,,
12/9/2020,264,,,,,,,,,,
11/9/2020,272,,,,,,,,,,
10/9/2020,278,,,,,,,,,,
9/9/2020,285,,,,,,,,,,
8/9/2020,289,,,,,,,,,,
7/9/2020,293,,,,,,,,,,
6/9/2020,298,,,,,,,,,,
5/9/2020,304,,,,,,,,,,
4/9/2020,311,,,,,,,,,,
3/9/2020,325,,,,,,,,,,
2/9/2020,339,,,,,,,,,,
1/9/2020,348,,,,,,,,,,
31/08/2020,364,,,,,,,,,,
30/08/2020,379,,,,,,,,,,
29/08/2020,387,,,,,,,,,,
28/08/2020,397,,,,,,,,,,
27/08/2020,391,,,,,,,,,,
26/08/2020,370,,,,,,,,,,
